image_0001,115.16766 220.807529,116.164839 245.721357,120.20869 270.389841,126.818237 293.156059,135.630967 313.719094,148.115667 336.485312,162.069155 357.782742,175.244288 375.646752,196.629641 382.645477,218.251194 381.353984,240.107363 364.628222,258.624908 347.083661,276.182758 326.369112,287.933064 300.889178,292.640683 273.327417,296.864703 246.434902,300.377962 218.496828,123.880661 214.575887,139.490678 215.929559,153.266075 219.788449,167.524839 225.304335,181.178785 232.537082,209.926602 232.365554,228.769747 226.989098,245.270669 222.183443,262.623085 220.119501,278.396024 221.284493,195.438309 247.230838,193.878987 266.412131,192.71565 283.702654,191.41345 299.777554,175.394672 303.212546,183.252244 309.321263,192.860805 313.386123,203.029501 309.992086,211.167139 305.865789,143.511472 240.605877,152.87361 234.904027,165.885257 234.655325,175.515413 243.565778,165.006732 245.420441,152.026189 244.447496,222.758288 246.624566,233.246081 239.604592,245.639459 238.31505,255.057142 244.458884,245.790086 249.092411,234.108232 249.773901,162.766194 318.246815,173.239365 319.463029,184.243161 320.665411,193.282615 323.76165,203.914072 322.47892,217.708849 323.720545,234.03978 323.266218,216.911898 345.507827,203.746197 349.087438,192.056977 349.25232,181.960552 346.648746,170.687582 338.371143,169.898521 322.774535,183.94098 324.969545,193.29101 327.191247,203.605936 327.453212,227.819411 327.220701,203.605936 336.539751,193.356785 336.194279,183.164758 334.765621
image_0117,189.75186 104.474736,190.063897 118.777007,191.338656 135.260844,193.965619 150.551169,198.722995 165.420942,208.507694 178.132089,219.317958 187.123497,233.518346 194.841378,246.64891 195.694662,261.868129 193.262137,275.100575 185.334104,287.893658 177.374238,295.643371 166.268666,303.571403 151.036672,306.443293 134.849512,306.545176 118.974387,306.787162 104.990539,197.037771 86.19331,204.335429 82.087002,213.438598 78.93482,223.476226 80.469075,231.029163 84.995717,246.682258 83.466887,258.286567 80.503927,268.693091 80.251079,281.148326 81.560191,288.841538 88.48786,240.238975 100.048347,239.435604 106.04696,238.387822 112.139381,237.215111 118.837414,227.79777 131.791047,234.241399 131.983756,239.753488 134.111665,245.588963 132.173457,252.472394 132.17778,207.116158 101.15426,213.188196 96.413202,221.566138 96.773266,227.13373 102.570744,220.381395 103.869825,212.287815 104.073591,257.813087 100.920253,264.288499 95.764241,272.570384 96.628461,278.902815 100.570577,273.913395 103.786218,265.57489 103.872763,220.664674 159.960385,224.102252 150.81363,232.968987 146.675929,239.372908 148.207586,246.057821 145.976174,254.276284 150.437507,262.25559 157.69285,254.676403 162.048878,247.505655 163.859849,240.110251 163.842511,233.911184 164.23492,226.478292 162.79,224.514476 158.403515,233.179658 154.169214,239.605174 152.850073,246.666365 157.628991,254.37946 156.844218,246.666365 157.628991,239.918574 158.647369,233.606809 158.053124
image_0118,38.06248 138.544349,39.219899 151.830798,39.726869 163.998099,41.228647 176.614966,46.384429 190.284044,51.81763 203.178331,57.614326 212.418615,62.722305 224.997213,73.349558 229.86604,89.639563 230.296472,100.380059 222.825559,111.35238 215.248963,121.445306 205.320565,130.275172 193.552808,140.290973 177.703094,142.124612 162.355786,142.798653 149.321387,46.80266 128.431649,53.201696 123.781889,60.87371 123.815778,68.382408 126.191469,75.215592 130.35099,88.855238 131.150201,100.639911 126.664003,111.611523 125.305702,121.387446 129.28493,127.971822 135.263992,81.451383 141.064577,79.280854 149.617801,76.809587 158.364483,74.391151 167.091661,66.108488 169.593913,70.489479 173.142709,75.446694 176.46433,81.441956 175.132323,87.669084 173.812292,52.260561 139.351093,56.528098 135.067159,64.531995 136.376796,69.586782 141.364156,63.025683 142.835171,56.276191 142.691906,96.220238 145.966765,103.017419 140.546916,109.709992 140.587027,115.588791 144.091406,111.301487 148.379608,104.280092 148.190921,59.60394 190.064028,62.521423 183.894304,69.944239 183.368199,74.889605 185.070858,80.873484 185.251941,90.567432 189.633596,97.014575 196.951204,90.299612 207.97062,81.889996 209.439385,74.669588 208.755011,68.96165 205.864772,63.031004 199.308865,62.119659 187.682252,70.125986 186.323951,74.765263 187.682252,80.944047 188.714808,94.623198 196.444233,81.556764 203.576363,75.071352 203.116583,69.398998 198.720802
image_0119,71.739049 155.181035,74.583425 180.245144,76.106292 204.365995,79.214211 227.509258,86.488976 246.228864,95.402002 266.423645,109.282059 279.841728,125.831007 291.944478,144.27498 299.542172,161.515473 298.741808,179.40625 287.739583,197.238167 273.709446,211.509866 259.775048,223.167855 240.087784,231.001112 220.03125,236.791158 198.939098,241.915182 174.653469,98.247471 148.897755,111.945085 145.122471,125.33667 146.899777,135.200141 151.098806,148.409284 157.687197,172.297027 151.866808,185.65625 146.411306,201.007585 143.624697,214.828782 142.797835,226.163532 151.287116,159.555724 167.550667,158.392775 181.332592,156.827973 195.584446,155.265473 210.200141,139.159987 215.300824,145.851371 220.315023,153.910269 224.69747,163.802378 222.577264,171.352483 219.099318,104.74464 165.252529,113.690029 165.864583,124.445085 164.914138,135.473806 167.427083,124.230279 166.997471,113.384 167.335862,181.951558 171.840918,189.210862 162.680724,201.555047 161.747271,209.705805 169.634,201.710862 176.328875,189.822917 176.28125,128.429308 250.669195,135.570894 246.411306,143.168588 242.459446,146.946697 245.373275,154.557898 243.388138,161.454988 248.72728,170.026391 255.311334,161.372675 263.647394,153.313538 268.571993,146.608903 268.443539,139.654218 267.148272,133.345878 263.546776,131.892699 251.528418,141.328562 253.188247,147.247325 254.558143,154.013799 255.141369,164.69731 255.915511,154.013799 255.141369,147.247325 254.558143,141.328562 253.188247
image_0120,154.650744 158.830763,159.067502 181.199834,164.706643 202.072063,172.735083 222.656563,184.827876 239.828573,203.106697 253.897076,224.074412 262.190059,247.537139 264.014085,271.513478 260.845358,292.953916 256.227825,311.817178 248.953054,325.603565 236.09335,335.139916 217.838584,334.704081 197.894636,334.540323 175.553594,332.469891 150.488794,328.819024 128.147324,175.480866 146.181611,182.837188 133.540253,194.498984 126.020173,209.047442 121.988055,225.958416 120.376434,250.237721 118.396707,264.599342 106.795894,283.046924 103.624971,299.938316 108.419586,314.105953 117.464237,245.006202 134.759156,248.390332 145.147037,251.698944 155.173383,254.478141 167.047137,241.475025 183.333044,248.338159 182.698991,255.818875 181.7433,262.927819 180.120422,269.571556 178.861756,196.732321 152.176696,205.657999 146.435473,215.1217 144.595958,221.847127 148.676912,214.299208 152.762254,204.639167 154.016792,267.984737 139.410142,274.625445 133.433686,284.771682 129.980596,293.018684 133.921502,287.23537 137.880467,277.289901 139.317834,238.061421 219.939347,245.383701 209.170076,252.649169 202.354377,258.758726 202.856411,264.695757 200.105307,274.168835 203.364604,288.277374 210.972257,276.493896 214.587489,268.693275 217.126654,263.354203 218.693701,257.024186 219.215687,248.280306 218.220261,242.766438 216.388291,254.619698 210.07174,260.660238 208.773863,266.694607 208.475658,282.283571 210.154746,266.694607 208.475658,260.660238 208.773863,254.619698 210.07174
image_0121,79.298871 236.084903,84.715103 275.615254,96.266237 320.51727,117.052042 354.137794,155.196301 371.881773,190.844708 381.886369,228.334925 384.902568,260.807913 385.551786,291.754689 383.69175,321.55 376.017343,331.440911 344.25474,341.200435 314.612002,344.820846 279.40372,344.793951 252.12958,337.570799 220.645331,325.975285 195.911636,313.24976 172.058379,129.270596 159.942332,144.505347 145.105356,164.277211 134.112445,187.328228 131.044994,208.832705 134.433342,261.589987 127.496198,274.771229 117.356781,285.417617 115.835868,295.050063 117.356781,301.640684 121.412548,244.538 160.318462,254.357574 177.898013,267.859713 196.148964,279.520042 213.546421,245.91223 237.66719,260.419636 239.787842,274.367355 244.079441,284.692711 237.332962,290.322192 230.704581,161.395834 188.307073,176.842288 175.549233,193.938448 173.918916,210.065036 182.672452,196.90942 186.490891,178.818917 189.372268,263.964394 172.64223,275.24851 162.425478,289.234451 160.884494,300.152086 168.984239,292.733599 173.52135,280.136207 174.028321,204.700057 296.047847,229.650824 269.448035,255.1275 257.627258,272.262001 254.23891,287.445501 251.704056,303.668568 256.773764,315.649793 278.438689,315.021252 302.948864,307.350247 321.157124,292.564524 327.662303,273.692658 330.521865,239.140885 322.607719,209.769765 295.008279,258.348711 269.8525,275.226345 267.411231,289.826595 264.834044,309.303189 282.038739,300.189026 304.063437,284.688133 307.071578,268.295365 310.512674
image_0122,68.274995 229.937771,78.129675 274.137042,96.855397 326.035579,115.327319 352.430262,144.604096 371.284148,180.979097 380.85409,216.626156 385.79753,255.409741 388.332384,288.743548 386.399834,324.485309 377.052125,332.212893 341.565268,340.678419 313.42622,346.267927 277.728119,343.048904 250.616734,338.588151 219.157141,325.626782 194.986455,314.504991 175.340861,129.080561 164.377538,144.955125 145.176411,164.536953 133.611415,187.47691 131.900468,209.244458 138.07882,256.742513 130.252654,267.927439 119.923202,280.030973 114.790359,291.152764 116.659775,301.133714 122.93346,247.21616 165.188663,257.931136 181.069441,267.071333 197.774479,279.93564 214.789886,244.794132 237.334663,259.397104 238.628733,273.107716 243.761947,282.820136 237.981969,290.549802 231.211668,161.241326 187.445658,175.088007 175.531528,193.719028 173.725247,208.706551 182.312184,193.751227 187.381893,176.925856 188.83967,264.314877 174.042183,273.472551 164.504438,288.427875 160.892508,299.740333 168.845574,291.913536 172.965106,278.985464 174.866089,204.777054 296.253725,231.10797 269.764971,256.102495 258.041097,272.29951 255.252852,287.445501 251.704056,302.897681 256.768824,314.590454 278.174309,314.216751 306.941872,304.967878 323.63015,290.106624 328.763625,274.009195 330.696175,242.3554 323.534817,211.526142 293.434133,259.660404 270.213151,274.727511 267.494574,289.884646 264.631725,308.684234 274.428105,299.106687 302.861813,283.769804 308.927996,268.368749 310.227306
image_0123,169.486424 267.895958,175.282287 304.126194,183.241014 338.416059,190.52021 370.220368,203.033211 399.931231,223.562231 425.268041,240.981598 451.155637,259.605465 469.551795,291.838297 479.794013,318.489905 471.916815,345.29001 453.048919,368.766475 431.150154,395.387515 404.998146,415.266012 372.04846,427.498764 334.560569,437.302709 295.66641,438.868679 259.079062,186.467933 244.386396,208.060199 238.443401,229.118167 237.96828,248.259189 241.150873,265.958038 247.952256,309.563131 246.297025,330.887292 237.639753,352.199887 232.818197,375.724564 231.936327,402.392234 236.858263,289.72788 279.807017,289.119213 304.517973,287.812622 330.969174,286.380082 355.160826,263.526667 358.298538,273.576821 365.241151,287.042828 370.90171,303.197157 364.600124,316.022137 361.998307,210.982399 273.753926,228.678298 265.997276,245.892874 269.388731,257.518069 281.220314,241.662982 282.349014,221.389665 282.238109,328.467726 281.076706,340.401134 269.277826,357.418299 264.850524,376.014742 275.912125,363.279611 283.294547,344.759113 282.871986,249.133642 407.725943,262.843767 395.392765,276.51082 394.798454,286.845418 398.845171,302.369281 394.653119,319.356409 398.632313,336.849975 408.80882,321.842398 423.643387,303.221556 435.23511,287.745962 435.851739,276.799492 432.718244,261.478913 422.209234,256.944443 408.579926,277.106526 404.034966,286.602687 404.793585,302.494023 407.242849,327.329946 409.425448,302.802337 411.718949,286.72743 410.821751,277.45642 409.141533
image_0124,256.381974 279.033155,256.331605 316.229089,257.25646 354.927604,268.209311 389.848653,284.165685 423.078914,301.719632 447.676237,325.322685 466.102954,354.241966 484.976071,380.305711 493.117597,406.172182 487.974662,423.465298 470.877737,435.561127 446.608034,455.061137 416.269572,472.119101 379.602536,486.511812 346.136518,490.145321 315.239735,490.023877 283.116061,293.64023 268.535402,319.886884 258.187327,344.576306 257.918398,365.459736 265.793947,384.847646 275.310714,433.428439 270.599824,449.607575 265.979732,464.74933 258.673329,482.658347 256.233519,493.12622 262.668998,410.478701 294.077003,412.117893 314.748253,414.003957 339.537583,415.853668 362.99149,381.751925 363.838782,394.43124 372.162001,408.340426 377.861886,422.36401 373.902651,431.280045 364.503344,314.233963 287.89109,329.291464 278.419075,346.785674 277.790387,362.191812 289.224902,345.008671 293.809097,326.771374 293.289471,433.534984 288.888653,448.592486 278.419075,465.832218 277.71768,475.262543 284.820356,466.424553 294.401432,451.18013 295.155858,337.905994 395.875723,370.33105 392.502165,391.839442 391.558482,403.559027 395.643838,416.517298 392.610378,430.022371 392.679564,441.110674 392.863182,425.543513 423.167351,408.919794 433.149872,390.656322 435.525418,376.0513 432.228261,358.66338 425.476435,343.564188 396.873286,388.613494 398.845554,402.209571 399.885736,415.273459 398.348182,432.75539 397.679509,413.552829 411.363398,396.840064 416.568822,383.07112 415.277821
image_0125,169.632022 103.358805,169.455371 122.58933,170.855817 142.016029,174.37136 160.685428,181.23138 176.522768,190.882052 190.464333,208.741992 198.091028,229.342545 202.97953,249.65226 205.025427,267.369209 200.78202,280.517107 193.347945,291.432688 183.605747,297.18751 168.155921,300.273759 153.461803,303.464427 139.564391,306.771901 124.946079,306.044807 107.798419,193.791842 94.087427,206.730901 88.901893,218.705415 88.111379,232.510794 87.931154,244.735146 88.15238,258.712202 84.11781,269.931008 85.989676,279.527787 88.221992,289.845467 89.948438,298.367087 94.656715,253.812026 98.289306,254.063506 109.268834,254.49357 122.173087,254.888826 135.333371,238.014502 140.76137,246.227341 143.124328,253.301604 146.109727,260.485842 143.121704,267.031178 141.0,208.899798 102.985723,216.292873 97.992802,225.959265 99.10896,233.864404 106.979293,224.682164 109.369948,215.196865 108.795334,268.722819 106.868679,275.331573 100.044893,283.091292 100.44015,288.112827 106.508229,284.242257 109.698897,276.12828 110.710636,216.959687 167.40044,232.932716 160.503503,242.983603 157.566045,251.035365 157.208492,258.109527 157.182705,266.115306 159.087263,273.06445 169.679723,266.004891 171.166693,258.815515 170.900371,251.407615 172.294129,243.215291 171.891525,233.517042 171.889499,227.198422 166.898101,242.813957 162.961732,251.222636 162.058887,258.106956 162.590256,267.52466 167.517019,258.512811 168.930699,251.377483 169.438543,243.211089 169.415816
image_0127,182.436359 100.615238,182.673403 110.337681,184.014162 121.103093,185.955089 131.961602,190.654413 143.173235,197.16809 153.977557,203.73305 162.299905,213.252765 171.92549,228.132406 175.561471,242.58367 175.30862,256.265945 168.83909,266.459219 160.410873,275.271931 151.817568,281.18144 141.291348,284.022657 130.021913,285.245798 115.369348,285.586411 102.378739,188.961843 85.091723,195.374488 76.15234,205.245256 75.881382,214.172988 78.353708,222.351802 83.091271,239.213805 86.399824,248.102661 82.425447,258.12536 79.67635,267.082138 80.973822,273.686173 86.392783,230.744595 93.755688,230.018655 100.816971,229.317592 107.822117,228.166881 115.65091,218.984969 119.373009,223.427112 121.683363,228.288818 123.183408,233.779954 121.604101,239.482419 119.630093,199.903282 94.919722,204.896101 90.831855,212.458001 91.566227,216.373192 98.598797,210.140591 100.115651,203.487868 100.316952,245.103999 97.606339,251.107319 92.719713,258.144539 92.562293,262.970218 97.545392,258.276183 100.43049,251.293841 100.499576,209.196075 147.394489,215.324991 136.579206,222.537736 133.73799,228.491126 133.353495,235.056087 133.22185,246.779673 135.652797,254.849171 145.278381,246.534491 153.303998,236.348884 156.005901,229.242009 156.145214,222.87835 156.434278,215.621723 155.236911,211.722453 147.59579,222.695156 139.035928,228.805965 138.651432,235.169625 138.76497,251.894416 145.549338,235.484464 150.594426,229.146579 150.865383,222.852575 150.751845
image_0128,239.824892 61.126934,240.3914 79.257199,242.494502 97.102033,244.614666 113.973104,252.689207 128.292199,261.971451 142.841466,274.147418 154.213854,289.061126 162.919955,304.975891 165.516099,320.695026 163.094313,332.536211 153.318792,344.273165 140.148403,352.916107 125.936242,359.862576 110.463243,365.119862 95.588756,365.976882 79.014086,366.351925 62.919179,249.330894 46.605912,258.590003 38.278474,272.889061 37.099969,285.411099 40.448913,297.343885 45.752179,315.779664 46.527502,325.847612 42.177488,339.028441 40.088695,351.801997 40.862638,360.565787 47.506442,307.1964 59.158152,307.336875 71.107575,307.426002 83.031936,307.703392 95.977459,294.281178 102.953671,300.60593 104.132175,306.862316 105.742913,312.98197 104.691876,317.755083 104.08234,263.926104 61.73956,270.843738 57.427276,279.895869 57.273829,285.664487 62.380919,276.970258 62.871495,270.115133 62.743065,326.091622 63.857672,331.942 59.887461,338.905816 59.990938,345.504065 62.885367,339.594679 64.601559,332.017742 64.544228,288.71196 124.020735,288.457027 111.940198,295.980567 109.769759,306.577832 109.769759,316.094511 109.426174,323.304017 111.626164,325.749675 125.258339,322.138177 129.637004,315.580828 135.311915,306.854079 136.57606,297.402362 134.290266,290.566499 127.96733,292.247471 123.244917,297.334263 122.103484,306.536908 121.323392,315.534003 121.818245,321.84103 123.677151,315.534003 121.818245,306.536908 121.323392,297.334263 122.103484
image_0129,160.439416 131.604729,165.382646 151.085498,168.74521 172.418704,173.164883 195.020441,181.500851 213.36357,195.424307 229.854261,212.443504 242.454595,232.047892 248.484153,253.743264 249.230423,274.013707 244.678735,291.317719 234.352806,304.334532 220.986532,314.329611 201.902054,315.460926 179.193999,315.606674 154.788638,316.351061 133.212265,316.545069 123.061164,192.677597 108.644098,200.824903 98.924367,215.58045 96.772394,229.267841 99.328158,241.341346 103.904549,261.569439 104.270364,273.123642 97.383854,285.498954 94.307851,298.002582 97.522094,305.24695 105.836172,251.337868 115.829529,251.121539 127.224594,251.14392 138.832996,251.163804 151.183852,236.618919 165.388935,243.381111 166.330196,251.343817 167.100354,257.82171 166.209775,264.30418 164.943359,206.856749 121.832944,213.470282 116.073463,223.965393 117.236355,231.305248 123.945734,223.075282 125.596149,214.362888 125.614312,269.762189 121.668046,276.376112 116.499564,285.113347 116.114348,291.1076 122.239715,284.911638 124.493345,277.027609 124.329324,223.903539 199.572458,238.704804 191.970013,248.258946 188.396027,254.162203 191.042359,261.044312 187.107677,269.2708 189.896942,281.308409 193.712057,270.248496 200.410742,261.703019 202.783454,254.765303 204.314547,248.302884 203.379306,238.774199 202.394507,228.263982 198.379622,248.476745 194.456463,254.338875 193.964991,261.080608 192.836027,276.849199 194.052107,261.174345 195.209963,254.550296 196.50205,248.73638 197.111234
